Species,Common names,Images,Wikipedia,Wikimedia Commons,iNaturalist
Acer platanoides,"Norway Maple, Schwedler maple",https://inaturalist.org/taxa/54763/browse_photos,https://en.wikipedia.org//wiki/Acer_platanoides,https://commons.wikimedia.org/wiki/Acer platanoides,https://inaturalist.org/taxa/54763
Pinus wallichiana,"Himalayan White Pine, Pinus Excelsa, Himalayan Pine, Bhutan Pine, Blue Pine",https://inaturalist.org/taxa/135668/browse_photos,https://en.wikipedia.org//wiki/Pinus_wallichiana,https://commons.wikimedia.org/wiki/Pinus wallichiana,https://inaturalist.org/taxa/135668
Betula lenta,"Round-Leaf Birch, Black Birch, Spice Birch, Sweet Birch, Mahogany Birch, Cherry Birch",https://inaturalist.org/taxa/49157/browse_photos,https://en.wikipedia.org//wiki/Betula_lenta,https://commons.wikimedia.org/wiki/Betula lenta,https://inaturalist.org/taxa/49157
Pinus pinea,"Stone Pine, Umbrella Pine, Italian Stone Pine",https://inaturalist.org/taxa/63621/browse_photos,https://en.wikipedia.org//wiki/Pinus_pinea,https://commons.wikimedia.org/wiki/Pinus pinea,https://inaturalist.org/taxa/63621
Callitris columellaris,"Western Sand Cypress, Murray River Pine, Western Cypress, White Cypress-Pine, Callitris Arenosa, Northern Cypress-Pine, Cypress Pine, White Pine, White Cypress Pine",https://inaturalist.org/taxa/52388/browse_photos,https://en.wikipedia.org//wiki/Callitris_columellaris,https://commons.wikimedia.org/wiki/Callitris columellaris,https://inaturalist.org/taxa/52388
Taxodium distichum,"Bald Cypress, Swamp Cypress, Baldcypress",https://inaturalist.org/taxa/49666/browse_photos,https://en.wikipedia.org//wiki/Taxodium_distichum,https://commons.wikimedia.org/wiki/Taxodium distichum,https://inaturalist.org/taxa/49666
Crataegus monogyna,"Hawthorn, Oneseed Hawthorn",https://inaturalist.org/taxa/51147/browse_photos,https://en.wikipedia.org//wiki/Crataegus_monogyna,https://commons.wikimedia.org/wiki/Crataegus monogyna,https://inaturalist.org/taxa/51147
Ulmus laevis,"Eurasian Elm, European White Elm",https://inaturalist.org/taxa/450330/browse_photos,https://en.wikipedia.org//wiki/Ulmus_laevis,https://commons.wikimedia.org/wiki/Ulmus laevis,https://inaturalist.org/taxa/450330
Poncirus trifoliata,"Citrus Trifoliata, Hardy Orange",https://inaturalist.org/taxa/128940/browse_photos,https://en.wikipedia.org//wiki/Poncirus_trifoliata,https://commons.wikimedia.org/wiki/Citrus trifoliata,https://inaturalist.org/taxa/128940
Acer palmatum,Japanese Maple,https://inaturalist.org/taxa/63512/browse_photos,https://en.wikipedia.org//wiki/Acer_palmatum,https://commons.wikimedia.org/wiki/Acer palmatum,https://inaturalist.org/taxa/63512
Tilia cordata,"Small-Leaved Lime, Small-leafed linden, Small-leaf European linden",https://inaturalist.org/taxa/132600/browse_photos,https://en.wikipedia.org//wiki/Tilia_cordata,https://commons.wikimedia.org/wiki/Tilia cordata,https://inaturalist.org/taxa/132600
Ulmus procera,English Elm,https://inaturalist.org/taxa/170057/browse_photos,https://en.wikipedia.org//wiki/Ulmus_procera,https://commons.wikimedia.org/wiki/Ulmus procera,https://inaturalist.org/taxa/170057
Ilex aquifolium,"Ilex Perado Subsp. Iberica, Common Holly, Holly, English Holly",https://inaturalist.org/taxa/53856/browse_photos,https://en.wikipedia.org//wiki/Ilex_aquifolium,https://commons.wikimedia.org/wiki/Ilex aquifolium,https://inaturalist.org/taxa/53856
Ulmus americana,American Elm,https://inaturalist.org/taxa/53547/browse_photos,https://en.wikipedia.org//wiki/Ulmus_americana,https://commons.wikimedia.org/wiki/Ulmus americana,https://inaturalist.org/taxa/53547
Picea orientalis,"Oriental Spruce, Caucasian Spruce, Oriental spruce",https://inaturalist.org/taxa/135802/browse_photos,,https://commons.wikimedia.org/wiki/Picea orientalis,https://inaturalist.org/taxa/135802
Tilia tomentosa,"Tilia Argentea, Silver Lime, Silver-leafed linden",https://inaturalist.org/taxa/143800/browse_photos,https://en.wikipedia.org//wiki/Tilia_tomentosa,https://commons.wikimedia.org/wiki/Tilia tomentosa,https://inaturalist.org/taxa/143800
